
ano,receitas_primarias,despesas_primarias,resultado_primario,estado
2013,10.306164961850001,10.26342131537,0.04274364648000173,MT
2014,11.42949302149,11.95744067225,-0.5279476507599998,MT
2002,3.41362777331,3.2249503994799995,0.1886773738300005,PA
2003,3.677589284850001,3.49785612772,0.17973315713000115,PA
2004,4.298659837390002,4.11311326152,0.1855465758700019,PA
2005,4.8947802548900015,4.60204745397,0.2927328009200014,PA
2006,5.655382694339998,5.70559621882,-0.050213524480001936,PA
2007,6.374562742669998,5.97547325125,0.39908949141999717,PA
2008,7.9097830057100005,7.46227900548,0.44750400023000036,PA
2009,8.203444990430002,8.08429988932,0.11914510111000176,PA
2010,9.305770991720001,9.52512841395,-0.219357422229999,PA
2011,10.49516124897,9.358203237450002,1.1369580115199973,PA
2012,12.757250685630002,11.613545971719999,1.1437047139100027,PA
2013,13.501174252870005,13.074307333169996,0.426866919700009,PA
2014,15.057478538840002,14.713090853409998,0.34438768543000364,PA
2002,1.96821800676,1.9464842268499998,0.02173377991000014,PB
2003,2.2986115744799998,2.2133375632699996,0.08527401121000011,PB
2004,2.49899971593,2.5006294236300004,-0.0016297077000002602,PB
2005,3.0290830083199993,2.7593931414699995,0.26968986684999985,PB
2006,3.48749400577,3.1994400587099996,0.2880539470600003,PB
2007,3.7319525983700013,3.3869860375500003,0.344966560820001,PB
2008,4.602276241300001,4.14941456354,0.4528616777600014,PB
2009,4.9999,4.734479347650001,0.26542065234999956,PB
2010,5.351559999999999,5.54457695493,-0.19301695493000093,PB
2011,6.1848,5.67760838471,0.50719161529,PB
2012,6.596470000000003,6.69070415007,-0.09423415006999747,PB
2013,7.631464839700001,7.564082332100001,0.06738250760000053,PB
2014,8.112437362420001,8.514800152900001,-0.4023627904799998,PB
2002,4.6623102649599995,4.85162472817,-0.18931446321000056,PE
2003,4.77034548197,4.58186998722,0.18847549474999958,PE
2004,5.693904267549999,5.2876357314,0.4062685361499989,PE
2005,6.8657431863100005,6.21240968608,0.6533335002300005,PE
2006,7.812638727689997,7.23297330177,0.5796654259199965,PE
2007,8.610038585789999,7.822103637389999,0.7879349484000002,PE
2008,10.47323601394,9.73132094797,0.7419150659699998,PE
2009,11.335258419680002,11.477477546810004,-0.1422191271300015,PE
2010,14.29324736958,13.93867721055,0.3545701590299988,PE
2011,15.324056279390003,15.565127182720001,-0.24107090332999803,PE
2012,16.769421582470002,17.86933498968,-1.0999134072099963,PE
2013,18.51742511936,19.86559812543,-1.3481730060700023,PE
2014,19.4627233367,21.205441128049998,-1.742717791349996,PE
2002,1.50711637091,1.4576309408400001,0.049485430069999836,PI
2003,1.44992903641,1.6855697564799996,-0.2356407200699997,PI
2004,1.9766906859999993,1.9524944530000001,0.02419623299999918,PI
2005,2.4893229036899993,2.298665385395,0.19065751829499922,PI
2006,2.8707569211900004,2.66955184524,0.20120507595000037,PI
2007,2.91338127544,3.05725415439,-0.1438728789499999,PI
2008,3.6139987962799998,3.68148955871,-0.0674907624300003,PI
2009,4.321210000000001,4.47358562483,-0.15237562482999945,PI
2010,4.76467,4.7530003801400005,0.011669619859999258,PI
2011,4.64724233528,4.81383671837,-0.16659438309000052,PI
2012,5.8155909999999995,5.30447465937,0.5111163406299992,PI
2013,6.02344,6.3422487512900005,-0.31880875129000064,PI
2014,6.4690175301099995,6.65520848861,-0.18619095850000011,PI
2002,7.5741090265499995,6.95798231854,0.6161267080099995,PR
2003,8.078121574708,7.626332284100001,0.4517892906079988,PR
2004,9.389180797040003,8.305016360000002,1.0841644370400019,PR
2005,10.6089045277188,9.63835345807,0.9705510696487991,PR
2006,11.71711130531,11.064486445880002,0.6526248594299986,PR
2007,12.77609602557,11.592221296240002,1.1838747293299985,PR
2008,14.89276176996,13.320879996810001,1.5718817731499986,PR
2009,15.747683180289997,14.544607125380002,1.2030760549099941,PR
2010,17.946776671989994,16.55156794305,1.3952087289399948,PR
2011,20.178017017319995,18.17977139836,1.998245618959995,PR
2012,22.447478954310004,21.806401481050003,0.6410774732600011,PR
2013,26.129330507390016,25.016055959,1.1132745483900166,PR
2014,28.44644287008,28.224116848770006,0.22232602130999268,PR
2002,14.134030996639996,14.985686182930001,-0.8516551862900048,RJ
2003,17.170616480400003,17.055112256770002,0.11550422363000123,RJ
2004,19.93788415666,19.46580816578,0.4720759908800005,RJ
2005,22.547779792020005,21.76211168309,0.7856681089300039,RJ
2006,25.8699893854,25.023220809210002,0.8467685761899979,RJ
2007,26.14365681561999,23.998063402680003,2.145593412939988,RJ
2008,31.102174099280006,27.475385047299998,3.6267890519800083,RJ
2009,29.10284460099999,28.539822374270003,0.5630222267299878,RJ
2010,34.16053350607,34.24011414503,-0.07958063895999601,RJ
2011,38.65687892491,37.66067009737999,0.9962088275300118,RJ
2012,40.80771968557001,42.56969984357001,-1.761980158,RJ
2013,48.15800153064,51.66797863913,-3.5099771084899984,RJ
2014,47.11002627894001,55.19207823258,-8.08205195363999,RJ
2002,2.0542627568100005,1.9433925856299998,0.11087017118000064,RN
2003,2.2525506228300003,2.08536338247,0.1671872403600001,RN
2004,2.7158838839099997,2.5663119721400003,0.1495719117699994,RN
2005,3.3228467833999997,3.0527067233099996,0.27014006009000013,RN
2006,3.860521631800001,3.62398037796,0.2365412538400009,RN
2007,4.1001982862599995,3.8542021433499998,0.24599614290999972,RN
2008,4.708525891169998,4.33551251146,0.3730133797099979,RN
2009,4.929911658449999,4.99540397345,-0.06549231500000108,RN
2010,5.668855453199999,5.35617344958,0.3126820036199991,RN
2011,6.05667822425,5.575038788129999,0.48163943612000093,RN
2012,6.853179019270002,6.40050607769,0.45267294158000215,RN
2013,7.469623919379999,7.031610092309999,0.4380138270699998,RN
2014,7.95534676524,7.74082354445,0.2145232207899994,RN
2002,1.2860563441400001,1.2726537471200001,0.013402597020000018,RO
2003,1.46384766608,1.3151317268999998,0.14871593918000015,RO
2004,1.784278038470001,1.63842859641,0.14584944206000094,RO
2005,2.1482595774,1.9476924664600002,0.20056711094000002,RO
2006,2.29520362584,2.1398810200000002,0.1553226058399999,RO
2007,2.6042889370900006,2.33474949822,0.26953943887000076,RO
2008,3.2311155518899994,2.94777171393,0.2833438379599995,RO
2009,3.3018561244600004,3.5586008413899997,-0.25674471692999923,RO
2010,3.7617910546900006,3.7223725543499997,0.03941850034000094,RO
2011,4.52936188338,4.0446403359200005,0.4847215474599995,RO
2012,4.74582639409,4.56071873231,0.18510766178000004,RO
2013,4.876397774,4.892018896,-0.015621121999999765,RO
2014,5.5004938901700005,5.297302846509999,0.2031910436600013,RO
2002,0.7407247880000001,0.5883936840000001,0.15233110399999994,RR
2003,0.715447381,0.7590477720000001,-0.043600391000000016,RR
2004,0.80850471986,0.6273225254499999,0.18118219441000016,RR
2005,1.05161582984,0.9301521587400001,0.12146367109999989,RR
2006,1.20604996657,1.12165976983,0.08439019674000003,RR
2007,1.3348602286100002,1.3028631957,0.03199703291000011,RR
2008,1.72308217228,1.57627259741,0.14680957487000001,RR
2009,1.6532447774299999,1.6538268307300004,-0.0005820533000004957,RR
2010,1.8638226504700002,1.7697013045,0.0941213459700001,RR
2011,2.1774806893500003,2.00717505116,0.17030563819000033,RR
2012,2.4343551439000004,2.24988611762,0.1844690262800004,RR
2013,2.5104357318,2.66904437619,-0.1586086443900001,RR
2014,2.69561124567,2.25692588913,0.43868535653999974,RR
2002,9.456874383169998,8.863229478460001,0.593644904709997,RS
2003,10.84871099848,10.31266986078,0.5360411376999998,RS
2004,11.54242399366,11.33998901846,0.2024349751999992,RS
2005,12.86545646923,12.35163292477,0.513823544460001,RS
2006,14.109563011190001,13.611353455199996,0.49820955599000527,RS
2007,16.1977906169,13.93599831032,2.2617923065800003,RS
2008,17.61079867524001,15.4300362629,2.180762412340009,RS
2009,18.612012820130005,16.75563455576,1.8563782643700044,RS
2010,21.987201579430003,20.205407281030002,1.7817942984000013,RS
2011,23.0327667017,21.422281786919992,1.6104849147800095,RS
2012,24.671801465140014,23.623841791030006,1.0479596741100075,RS
2013,28.264347494949995,27.5313841073,0.7329633876499955,RS
2014,31.124669508279993,31.659954804609995,-0.5352852963300023,RS
2002,4.532054963289999,5.16210255181,-0.630047588520001,SC
2003,4.437402312169999,4.840921761090001,-0.4035194489200018,SC
2004,5.598387462839999,5.15248209912,0.4459053637199988,SC
2005,6.62067274288,6.09675716151,0.5239155813699998,SC
2006,6.805756472009999,6.98794861108,-0.18219213907000142,SC
2007,8.46343448823,7.588124273290001,0.8753102149399989,SC
2008,10.13999744797,8.79893931205,1.3410581359199991,SC
2009,10.51039989316,9.93479899795,0.57560089521,SC
2010,12.036454223160002,11.15972043677,0.8767337863900018,SC
2011,13.840228135979999,12.49949285725,1.3407352787299978,SC
2012,14.764365594919997,13.935868898249998,0.8284966966699994,SC
2013,16.264397601589998,15.73960829688,0.5247893047099979,SC
2014,18.066168009449996,18.643640498410004,-0.5774724889600087,SC
2002,1.7252618588600006,1.6570647799199998,0.06819707894000082,SE
2003,1.7030464705100001,1.7583159784699998,-0.05526950795999963,SE
2004,1.9735995636100008,2.1187152349100002,-0.14511567129999947,SE
2005,2.5328007480699997,2.39401185358,0.13878889448999976,SE
2006,2.9250297212900005,3.02569205462,-0.10066233332999941,SE
2007,3.138629435110001,2.64562648907,0.4930029460400007,SE
2008,3.9477359695,3.2621950094500005,0.6855409600499995,SE
2009,3.88752228272,4.05230371248,-0.16478142975999965,SE
2010,4.5540911580999985,4.90772515359,-0.35363399549000185,SE
2011,5.14318271061,5.27983733282,-0.13665462221000002,SE
2012,5.5886743246199995,5.69661889945,-0.1079445748300003,SE
2013,5.851660607310001,5.78369234556,0.0679682617500017,SE
2014,6.720676150880001,6.495671512419999,0.2250046384600024,SE
2002,40.88212321538,36.528099207309985,4.354024008070013,SP
2003,43.37082721756,39.73136205473,3.6394651628299997,SP
2004,49.54775940052001,46.38664584637001,3.161113554149999,SP
2005,58.21533659527999,54.0612310248,4.154105570479992,SP
2006,66.55957649961002,61.14326140468001,5.416315094930006,SP
2007,71.02666976705001,65.27930648207,5.747363284980011,SP
2008,82.44659626535001,77.55162267039002,4.894973594959993,SP
2009,90.40699588173001,84.61788794646,5.78910793527001,SP
2010,103.07501669830003,94.98561336562,8.089403332680035,SP
2011,107.85011292591999,96.70818623014,11.141926695779986,SP
2012,116.32365883041003,108.98196041938,7.341698411030023,SP
2013,129.56703711122,119.55349437128002,10.013542739939979,SP
2014,136.56283457691998,134.92387355404,1.6389610228799825,SP
2002,1.6263810335600002,1.5817452565199999,0.044635777040000324,TO
2003,1.7473388161299996,1.6539468197599998,0.09339199636999984,TO
2004,1.9546530001800002,1.78456158687,0.17009141331000022,TO
2005,2.43281266139,2.09729993376,0.33551272762999984,TO
2006,2.6221876714400003,2.3779073865399996,0.24428028490000075,TO
2007,3.00401848962,2.7037325769600002,0.3002859126599997,TO
2008,3.4945143108700014,3.3643376095500006,0.1301767013200008,TO
2009,3.3946194472100006,3.35721732936,0.03740211785000058,TO
2010,3.92383898626,3.9155145567299994,0.008324429530000454,TO
2011,4.44443729937,4.150056071320001,0.2943812280499989,TO
2012,4.846518241450001,4.50239630954,0.34412193191000107,TO
2013,5.30167494855,5.1946173677,0.10705758084999939,TO
2014,5.825228045079999,5.9548972798,-0.12966923472000058,TO
