uf,nome,id_ente,year,eleicao_estadual,pre_eleicao,pos_eleicao,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida,dcl_hist,rcl_hist,dcl_sobre_rcl_hist,encargos_hist,dcl_sobre_rcl_ext,fonte_dcl_rcl,rcl_ext,encargos_ext,encargos_sobre_rcl_ext,fonte_encargos,dcl_sobre_rcl,primario_sobre_rcl,encargos_sobre_rcl,pib_nominal_mil,pib_real_mil,crescimento_pib_pct,ln_pib_real,ipca_aa,deflator_2010,teto,d_lag1,d_lag2,yvar,d_lag1_teto,d_lag2_teto,primario_teto,d_quebra_serie,primario_sobre_rcl_hist,primario_sobre_rcl_ext,fonte_primario
AL,Alagoas,27,2019,0,1,0,6404121.91862,8559007.20196,1000851.51774,8900266.46399,7920439.63009,962708.29261,NA,NA,NA,NA,0.7482318646902723,SICONFI,8559007.20196,962708.29261,0.11247896746593944,SICONFI,0.7482318646902723,0.11693546857990804,0.11247896746593944,58963729,36144002.00542418,4.463552013221084,17.40302157317421,4.306039984113186,166.4720019974206,15,0.856004809404931,0.9526063438859256,-901889.7105180428,12.840072141073964,14.289095158288884,1.7540320286986206,1,NA,0.11693546857990804,SICONFI
AL,Alagoas,27,2020,0,0,0,5813489.668409999,10059495.93865,1322519.59175,10727583.37847,9050981.87159,962245.97077,NA,NA,NA,NA,0.5779106332827029,SICONFI,10059495.93865,962245.97077,0.09565548578561628,SICONFI,0.5779106332827029,0.13146976745312788,0.09565548578561628,63202349,37536696.030940525,3.8531815743794606,17.440829573287196,4.517341500509864,173.9921108303797,15,0.7482318646902723,0.856004809404931,-416498.15704688337,11.223477970354084,12.840072141073964,1.9720465117969184,1,NA,0.13146976745312788,SICONFI
AL,Alagoas,27,2021,0,0,1,4758264.282229999,12528914.43601,1512459.09144,12924340.80486,11351500.11264,807960.18932,NA,NA,NA,NA,0.37978264649601456,SICONFI,12528914.43601,807960.18932,0.06448764523427504,SICONFI,0.37978264649601456,0.12071748906616868,0.06448764523427504,76265620,41823161.76820887,11.419400721190588,17.548960853320413,10.061054893257904,191.49755261096232,15,0.5779106332827029,0.7482318646902723,2964558.1491353414,8.668659499240544,11.223477970354084,1.8107623359925302,1,NA,0.12071748906616868,SICONFI
AL,Alagoas,27,2022,1,0,0,7245315.32333,13177911.88617,-1919997.41569,13394974.15857,14348891.79036,854284.74925,NA,NA,NA,NA,0.5498075405204248,SICONFI,13177911.88617,854284.74925,0.0648270193813147,SICONFI,0.5498075405204248,-0.14569815250510254,0.0648270193813147,76065806,38171312.61641334,-8.731642939944862,17.457594812823174,5.784841959607778,202.57538338602325,15,0.37978264649601456,0.5779106332827029,-1576931.1225210952,5.6967396974402185,8.668659499240544,-2.185472287576538,1,NA,-0.14569815250510254,SICONFI
AL,Alagoas,27,2023,0,1,0,10136310.09965,14465051.81955,-173995.67022,15486199.09128,15751887.50885,1763489.1512200001,NA,NA,NA,NA,0.7007448176542609,SICONFI,14465051.81955,1763489.1512200001,0.12191378041498516,SICONFI,0.7007448176542609,-0.01202869318344501,0.12191378041498516,NA,NA,NA,NA,4.621113930566767,211.93662264757376,15,0.5498075405204248,0.37978264649601456,NA,8.247113107806372,5.6967396974402185,-0.18043039775167513,1,NA,-0.01202869318344501,SICONFI
AL,Alagoas,27,2024,0,0,0,12826319.22178,16937628.981200002,399317.76675,18196570.54881,16709913.11877,2046480.39116,NA,NA,NA,NA,0.757267692899439,SICONFI,16937628.981200002,2046480.39116,0.1208244904544491,SICONFI,0.757267692899439,0.02357577717596864,0.1208244904544491,NA,NA,NA,NA,4.831295791859613,222.17590777895543,15,0.7007448176542609,0.5498075405204248,NA,10.511172264813911,8.247113107806372,0.3536366576395296,1,NA,0.02357577717596864,SICONFI
AM,Amazonas,13,2002,1,0,0,NA,NA,NA,NA,NA,NA,1850103,2767751,0.67,120191.6352,0.67,SISTN,2767751,120191.6352,0.04342573995998917,STN-Servico,NA,NA,NA,22093338,37246404.25081342,NA,17.433065967951,12.530337079575029,63.824270157497885,12,NA,NA,83909.54295514933,NA,NA,0.007676143786061492,0,6.396786488384576e-4,6.396786488384576e-4,FINBRA
AM,Amazonas,13,2003,0,1,0,NA,NA,NA,NA,NA,NA,1696945,3054642,0.56,135424.64719999998,0.56,SISTN,3054642,135424.64719999998,0.04433404870357966,STN-Servico,NA,NA,NA,25862134,38007492.10202998,2.043386110754408,17.453293858836805,9.299949329235147,69.75989494189933,12,0.67,NA,-2203452.7890409874,8.040000000000001,NA,0.5949900176976541,0,0.04958250147480451,0.04958250147480451,FINBRA
AM,Amazonas,13,2004,0,0,0,NA,NA,NA,NA,NA,NA,1681725,3751410,0.45,119963.92709,0.45,SISTN,3751410,119963.92709,0.03197835669521593,STN-Servico,NA,NA,NA,31090696,42863363.38732394,12.776089704257563,17.57352801873677,7.600644138060453,75.06209630751793,12,0.56,0.67,-396870.78238927864,6.720000000000001,8.040000000000001,0.5565906316824868,0,0.046382552640207235,0.046382552640207235,FINBRA
AM,Amazonas,13,2005,0,0,1,NA,NA,NA,NA,NA,NA,1602703,4294390,0.37,119517.47398,0.37,SISTN,4294390,119517.47398,0.02783107123013978,STN-Servico,NA,NA,NA,33980877,43836294.7619007,2.2698437492763013,17.595972679739834,5.68973334585865,79.3329294312273,12,0.45,0.56,-2452872.3494234597,5.4,6.720000000000001,0.28971331846432413,0,0.024142776538693678,0.024142776538693678,FINBRA
AM,Amazonas,13,2006,1,0,0,NA,NA,NA,NA,NA,NA,1556436,4670314,0.33,108352.32858,0.33,SISTN,4670314,108352.32858,0.02320022349246753,STN-Servico,NA,NA,NA,39933213,49446285.568602875,12.797593494553205,17.716397498319978,3.141774968304434,81.82539154972024,12,0.37,0.45,173705.99298381712,4.4399999999999995,5.4,0.27469082622710145,0,0.022890902185591786,0.022890902185591786,FINBRA
AM,Amazonas,13,2007,0,1,0,NA,NA,NA,NA,NA,NA,1011766,5331931,0.19,106810.62109,0.19,SISTN,5331931,106810.62109,0.02003225868639335,STN-Servico,NA,NA,NA,43479773,51946178.20120188,5.055774369806998,17.765718705935228,4.457330433237816,85.47261962938191,12,0.33,0.37,-214600.49761702248,3.96,4.4399999999999995,0.6585387112248813,0,0.054878225935406776,0.054878225935406776,FINBRA
AM,Amazonas,13,2008,0,0,0,NA,NA,NA,NA,NA,NA,819600,6395995,0.13,107572.16905,0.13,SISTN,6395995,107572.16905,0.01681867622629473,STN-Servico,NA,NA,NA,48115265,54395553.93514171,4.71521836400115,17.811792979352738,5.902313417525495,90.51748152607746,12,0.19,0.33,-510254.74193284754,2.28,3.96,0.2088085326708391,0,0.017400711055903257,0.017400711055903257,FINBRA
AM,Amazonas,13,2009,0,0,1,NA,NA,NA,NA,NA,NA,1459103,6161491,0.24,119389.29406,0.24,SISTN,6161491,119389.29406,0.01937668886637991,STN-Servico,NA,NA,NA,50559840,54495417.06702247,0.18358693800568648,17.813627165584318,4.312028329689999,94.42062097280385,12,0.13,0.19,-2962150.634538231,1.56,2.28,-1.8701071143916264,0,-0.15584225953263553,-0.15584225953263553,FINBRA
AM,Amazonas,13,2010,1,0,0,NA,NA,NA,NA,NA,NA,2006958,7407732,0.27,154811.36816999997,0.27,SISTN,7407732,154811.36816999997,0.02089861892546868,STN-Servico,NA,NA,NA,60877123,62468002.27109022,14.629826934368584,17.95016501994593,5.909068347266233,100,12,0.24,0.13,2707150.8550575003,2.88,1.56,-0.6230830053247107,0,-0.05192358377705923,-0.05192358377705923,FINBRA
AM,Amazonas,13,2011,0,1,0,NA,NA,NA,NA,NA,NA,1648844,8515352,0.19,186640.0343,0.19,SISTN,8515352,186640.0343,0.02191806449105098,STN-Servico,NA,NA,NA,70734401,68065784.02068833,8.961038525460774,18.035985207567848,6.503109040628852,106.50310904062886,12,0.27,0.24,6334950.062787783,3.24,2.88,0.3351847317456752,0,0.027932060978806267,0.027932060978806267,FINBRA
AM,Amazonas,13,2012,0,0,0,NA,NA,NA,NA,NA,NA,1479388,9655316,0.15,181216.60894,0.15,SISTN,9655316,181216.60894,0.01876858395313007,STN-Servico,NA,NA,NA,72242701,65953305.50796448,-3.103583603887927,18.004457557296345,5.838568997639149,112.7213665465968,12,0.19,0.27,2643544.5348397307,2.28,3.24,0.42735059870023506,0,0.03561254989168625,0.03561254989168625,FINBRA
AM,Amazonas,13,2013,0,0,1,NA,NA,NA,NA,NA,NA,2270924,10329762,0.22,194420.1099,0.22,SISTN,10329762,194420.1099,0.0188213542480456,STN-Servico,NA,NA,NA,83051233,71391565.63817388,8.245621790029434,18.08369029201522,5.910818080013791,119.38412146047168,12,0.15,0.19,6888338.029880178,1.7999999999999998,2.28,-0.722713009263912,0,-0.060226084105326004,-0.060226084105326004,FINBRA
AM,Amazonas,13,2014,1,0,0,NA,NA,NA,NA,NA,NA,3396341,11039956,0.31,257205.08876,0.31,SISTN,11039956,257205.08876,0.02329765524065494,STN-Servico,NA,NA,NA,86668644,70066486.04336715,-1.856073029022065,18.064955149857965,6.407616596391952,127.0337982406296,12,0.22,0.15,4723221.588022876,2.64,1.7999999999999998,-1.0724265734899665,0,-0.08936888112416387,-0.08936888112416387,FINBRA
AM,Amazonas,13,2015,0,1,0,5259411.12232,10998994.38861,5586.73254,NA,13484764.94174,326649.10354000004,NA,NA,NA,NA,0.47817199795704773,SICONFI,10998994.38861,326649.10354000004,0.02969808802505266,SICONFI,0.47817199795704773,5.079312110373778e-4,0.02969808802505266,86568184,64188914.6763557,-8.388563061908894,17.977341085158663,10.673497995621716,140.59274814960534,12,0.31,0.22,-1741870.8101563868,3.72,2.64,0.006095174532448533,1,NA,5.079312110373778e-4,SICONFI
AM,Amazonas,13,2016,0,0,0,4620464.96476,11395630.934,425026.05673,NA,13778475.43949,344510.44408,NA,NA,NA,NA,0.40545933713721655,SICONFI,11395630.934,344510.44408,0.03023180077305932,SICONFI,0.40545933713721655,0.03729728166800247,0.03023180077305932,89039782,60715318.678791575,-5.41152006554122,17.921706591221685,6.288055054224495,149.4332975554997,12,0.47817199795704773,0.31,-5698618.211121399,5.738063975484573,3.72,0.4475673800160296,1,NA,0.03729728166800247,SICONFI
AM,Amazonas,13,2017,0,0,1,4322557.5256199995,12052493.12173,607215.4090399999,NA,13898072.45645,327257.67646,NA,NA,NA,NA,0.35864426405078464,SICONFI,12052493.12173,327257.67646,0.02715269555889411,SICONFI,0.35864426405078464,0.05038089654207917,0.02715269555889411,93240191,61461386.61228872,1.2287968666427451,17.933919675627354,2.9473499083459087,153.83761971404,12,0.40545933713721655,0.47817199795704773,-5462059.5332725225,4.865512045646598,5.738063975484573,0.60457075850495,1,NA,0.05038089654207917,SICONFI
