uf,nome,id_ente,year,eleicao_estadual,pre_eleicao,pos_eleicao,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida,dcl_sobre_rcl,primario_sobre_rcl,encargos_sobre_rcl,pib_nominal_mil,pib_real_mil_2010,pib_real_mil_lag1,crescimento_pib_pct,ln_pib_real,ipca_aa,deflator_2010,deflator_medio_2010
AC,Acre,12,2002,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2971301,5009214.913420785,NA,NA,15.42678975687368,12.530337079575029,63.824270157497885,59.31670034837661
AC,Acre,12,2003,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3377234,4963248.376244091,5009214.913420785,-0.9176395497334178,15.417570998903495,9.299949329235147,69.75989494189933,68.04483160997277
AC,Acre,12,2004,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3784003,5216837.077166879,4963248.376244091,5.1093292476869445,15.467401852298348,7.600644138060453,75.06209630751793,72.534429272516
AC,Acre,12,2005,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4300581,5547871.420841483,5216837.077166879,6.345498982965747,15.52892488438072,5.68973334585865,79.3329294312273,77.51767612789594
AC,Acre,12,2006,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4661807,5772363.976515285,5547871.420841483,4.046462843937926,15.568592255882097,3.141774968304434,81.82539154972024,80.7607943464141
AC,Acre,12,2007,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5458172,6520990.239871088,5772363.976515285,12.969145161351058,15.690536799651492,4.457330433237816,85.47261962938191,83.70158210983462
AC,Acre,12,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6410255,7246959.392004009,6520990.239871088,11.132805378148714,15.796092544654167,5.902313417525495,90.51748152607746,88.45440761090515
AC,Acre,12,2009,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7407821,7984445.657914413,7246959.392004009,10.176492319304487,15.893005914292678,4.312028329689999,94.42062097280385,92.77815038614678
AC,Acre,12,2010,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8342356,8560363.694490673,7984445.657914413,7.212999640186579,15.962653234889494,5.909068347266233,100,97.4532893429402
AC,Acre,12,2011,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8949434,8611796.14359645,8560363.694490673,0.6008208405780424,15.968643465982838,6.503109040628852,106.50310904062886,103.92064385609744
AC,Acre,12,2012,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10137925,9255324.835402137,8611796.14359645,7.472641956163817,16.04070960174248,5.838568997639149,112.7213665465968,109.53613385044972
AC,Acre,12,2013,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11473930,9863090.494066624,9255324.835402137,6.566659403889852,16.10431011499965,5.910818080013791,119.38412146047168,116.33199560424204
AC,Acre,12,2014,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13458698,10880563.397056187,9863090.494066624,10.315964388663446,16.20248858086905,6.407616596391952,127.0337982406296,123.69486311381031
AC,Acre,12,2015,0,1,0,3822957.49962,3949107.68738,-143987.04841999998,NA,4696419.4015,187151.37297,0.9680560274000294,-0.03646065385356126,0.04739080009594874,13622802,10101088.354018005,10880563.397056187,-7.1639217069317755,16.128153733829595,10.673497995621716,140.59274814960534,134.8646949967637
AC,Acre,12,2016,0,0,0,3228313.64558,4442141.0709,373987.37885,NA,4865218.39241,180307.45355,0.7267472135741803,0.08419079288137697,0.04059021329402959,13754240,9378875.891504116,10101088.354018005,-7.149847988673486,16.05397047280987,6.288055054224495,149.4332975554997,146.65126353211818
AC,Acre,12,2017,0,0,1,3212204.81978,4471916.24014,41494.96336,NA,5477768.10841,170313.1703,0.7183061236583977,0.00927901175508174,0.03808505373407174,14272941,9408332.774601318,9378875.891504116,0.3140769047161207,16.05710631994496,2.9473499083459087,153.83761971404,151.70531636095134
AC,Acre,12,2018,1,0,0,3565447.36166,4846051.636630001,74226.66063,5583813.30799,5416448.9569,179469.20902,0.7357427508014447,0.015316935558205909,0.037034109926407,15331123,9748602.688957574,9408332.774601318,3.616686638411082,16.092634518750536,3.7454821218273926,159.59958025707417,157.26482542329737
AC,Acre,12,2019,0,1,0,3116891.7147600004,5357455.83349,676641.6310299999,6105616.08483,5418947.8436199995,197980.22686,0.5817857975190377,0.12629905911687492,0.03695415006921859,15630017,9580997.935066389,9748602.688957574,-1.7192695121428403,16.075292313109177,4.306039984113186,166.4720019974206,163.13558468470433
AC,Acre,12,2020,0,0,0,3337029.84169,5702871.32041,577899.78852,6428149.94683,5716209.76941,109636.55259,0.5851490686361986,0.10133488133455773,0.019224798602349987,16476371,9785530.754877537,9580997.935066389,2.134775742540973,16.096415399025247,4.517341500509864,173.9921108303797,168.37483231849694
AC,Acre,12,2021,0,0,1,2847799.0483000004,6690645.7354,627542.32173,7419063.05801,6617345.82774,130254.72325,0.42563889360220997,0.09379398439969597,0.01946818414862803,21374440,11721489.470942141,9785530.754877537,19.783890772604607,16.276934422002498,10.061054893257904,191.49755261096232,182.35259309823857
