uf,year,dcl_sobre_rcl_ext,primario_sobre_rcl_ext,encargos_sobre_rcl_ext,crescimento_pib_pct,teto,d_lag1,d_lag2,d_lag1_teto,d_lag2_teto,primario_teto,yvar
AC,2002,0.73,0.0645587330130742,0.03587103483871499,NA,12,NA,NA,NA,NA,0.7747047961568905,0.04852310028547616
AC,2003,0.68,0.10132918376519308,0.05834603509594716,-0.9176395497334178,12,0.73,NA,8.76,NA,1.215950205182317,-0.02699971602546613
AC,2004,0.62,0.07723028746563373,0.03055585733923538,5.1093292476869445,12,0.68,0.73,8.16,8.76,0.9267634495876048,-0.04395815197422467
AC,2005,0.45,0.07928425877877682,0.02542131364996693,6.345498982965747,12,0.62,0.68,7.44,8.16,0.9514111053453218,-0.04992487408091996
AC,2006,0.52,-0.05533658959272569,0.02735711979827309,4.046462843937926,12,0.45,0.62,5.4,7.44,-0.6640390751127083,-0.07822337393692265
AC,2007,0.41,0.07437838452344195,0.0256014281510169,12.969145161351058,12,0.52,0.45,6.24,5.4,0.8925406142813034,-0.02399722227526871
AC,2008,0.28,0.09733135616350268,0.02217791450561046,11.132805378148714,12,0.41,0.52,4.92,6.24,1.1679762739620323,0.01559344002662489
AC,2009,0.37,-0.097134923239669,0.0227667213922033,10.176492319304488,12,0.28,0.41,3.3600000000000003,4.92,-1.165619078876028,0.05004083875138638
AC,2010,0.54,-0.15966086579011238,0.03612886204747345,7.212999640186579,12,0.37,0.28,4.4399999999999995,3.3600000000000003,-1.9159303894813484,0.06231116820129287
AC,2011,0.5,0.03095670071657373,0.03646263863704488,0.6008208405780424,12,0.54,0.37,6.48,4.4399999999999995,0.37148040859888487,0.01710284750686139
AC,2012,0.58,-0.11496032127929012,0.03613935601815801,7.472641956163817,12,0.5,0.54,6,6.48,-1.3795238553514817,0.04461521874814167
AC,2013,0.69,-0.09250286208794764,0.03867224192515791,6.566659403889852,12,0.58,0.5,6.959999999999999,6,-1.1100343450553718,0.07060207419156955
AC,2014,0.74,-0.07908674073187058,0.0361917356829288,10.315964388663446,12,0.69,0.58,8.28,6.959999999999999,-0.949040888782447,0.13795615619958693
AC,2015,0.9680560274000294,-0.03646065385356126,0.04739080009594874,-7.1639217069317755,12,0.74,0.69,8.879999999999999,8.28,-0.4375278462427351,0.03872934575691453
AC,2016,0.7267472135741803,0.08419079288137697,0.04059021329402959,-7.149847988673486,12,0.9680560274000294,0.74,11.616672328800352,8.879999999999999,1.0102895145765236,-0.05664987326404031
AC,2017,0.7183061236583977,0.00927901175508174,0.03808505373407174,0.3140769047161207,12,0.7267472135741803,0.9680560274000294,8.720966562890164,11.616672328800352,0.11134814106098088,-0.07363768724194032
AC,2018,0.7357427508014447,0.0153169355582059,0.037034109926407,3.616686638411082,12,0.7183061236583977,0.7267472135741803,8.619673483900772,8.720966562890164,0.1838032266984708,-0.05921806244222867
AC,2019,0.5817857975190377,0.12629905911687492,0.03695415006921859,-1.7192695121428403,12,0.7357427508014447,0.7183061236583977,8.828913009617336,8.619673483900772,1.5155887094024991,-0.09997458789101588
AC,2020,0.5851490686361986,0.10133488133455772,0.01922479860234998,2.134775742540973,12,0.5817857975190377,0.7357427508014447,6.981429570228452,8.828913009617336,1.2160185760146929,-0.10530021986820572
AC,2021,0.42563889360221,0.09379398439969595,0.01946818414862803,19.783890772604607,12,0.5851490686361986,0.5817857975190377,7.021788823634384,6.981429570228452,1.1255278127963515,0.04600678072459446
AC,2022,0.3133725359811001,0.03314737510842554,0.02053679083381983,1.3621111239256578,12,0.42563889360221,0.5851490686361986,5.1076667232265205,7.021788823634384,0.39776850130110647,0.02888472742891461
AC,2023,0.23930044540687576,0.04888006945277408,0.02716627159228523,6.168764029847562,12,0.3133725359811001,0.42563889360221,3.760470431773201,5.1076667232265205,0.586560833433289,0.05751807117886953
AC,2024,0.19568084405922573,0.06625198092737745,0.02300842877679192,NA,12,0.23930044540687576,0.3133725359811001,2.871605344882509,3.760470431773201,0.7950237711285295,NA
AL,2002,2.36,0.25258922653133686,0.2128353406208238,NA,15,NA,NA,NA,NA,3.788838397970053,0.06769245057062905
AL,2003,2.77,0.08671342691045998,0.09171020446924406,-4.612273126036415,15,2.36,NA,35.4,NA,1.3007014036568998,-0.0300440891676864
AL,2004,2.64,0.11009265557498886,0.07986018747246847,4.369065606513312,15,2.77,2.36,41.55,35.4,1.651389833624833,-0.0384741493799737
AL,2005,2.25,0.08672212726042472,0.06352739990315025,3.162619475288597,15,2.64,2.77,39.6,41.55,1.300831908906371,-0.05958436975683704
AL,2006,2.22,0.14026558220824548,0.05755358775760756,7.830985097192422,15,2.25,2.64,33.75,39.6,2.103983733123682,-0.03748126491616917
AL,2007,2,0.19322011974123485,0.04693170070294519,10.217680319547108,15,2.22,2.25,33.300000000000004,33.75,2.8983017961185227,0.0060730650804551
AL,2008,1.97,0.1220640569819433,0.04470331184021385,6.012868322233023,15,2,2.22,30,33.300000000000004,1.8309608547291496,0.01126842432974664
AL,2009,1.81,0.02548845042683883,0.03723959918453903,3.562617806494961,15,1.97,2,29.55,30,0.38232675640258246,-0.00546422056529405
AL,2010,1.62,0.07221792550109211,0.04118717772522835,6.818984715070542,15,1.81,1.97,27.15,29.55,1.0832688825163816,0.01102392051856374
AL,2011,1.48,0.11411212787322264,0.03843188762822845,9.41337396197255,15,1.62,1.81,24.3,27.15,1.7116819180983396,0.05463121217674686
AL,2012,1.5,0.10736787775508226,0.0521861673658438,3.843298704965248,15,1.48,1.62,22.2,24.3,1.610518166326234,0.04985998502114466
AL,2013,1.46,0.1020255158056636,0.05073656988620478,1.310714783034439,15,1.5,1.48,22.5,22.2,1.530382737084954,0.0244730992239788
AL,2014,1.54,0.00432119632216836,0.04123036818855446,3.3620342948663895,15,1.46,1.5,21.9,22.5,0.06481794483252552,0.0229119293824341
AL,2015,1.6678936492549827,0.11587536395503412,0.04070050539257475,3.787598925872393,15,1.54,1.46,23.1,21.9,1.7381304593255118,0.02869996308397977
AL,2016,1.0283772539949392,0.14887345055871556,0.01788259501012108,-1.8856910894602397,15,1.6678936492549827,1.54,25.018404738824746,23.1,2.2331017583807333,-0.01925370721296018
AL,2017,0.9526063438859256,0.04951639358039022,0.02867346085066141,3.2780217957159685,15,1.0283772539949392,1.6678936492549827,15.425658809924087,25.018404738824746,0.7427459037058534,-0.01450028853962516
AL,2018,0.856004809404931,0.07847974312104745,0.04098910540711328,-0.6841669630912928,15,0.9526063438859256,1.0283772539949392,14.289095158288884,15.425658809924087,1.1771961468157115,-0.04831406726911164
AL,2019,0.7482318646902723,0.11693546857990804,0.11247896746593944,4.463552013221084,15,0.856004809404931,0.9526063438859256,12.840072141073964,14.289095158288884,1.7540320286986206,-0.0317605541111851
AL,2020,0.5779106332827029,0.13146976745312788,0.09565548578561628,3.8531815743794606,15,0.7482318646902723,0.856004809404931,11.223477970354084,12.840072141073964,1.9720465117969184,-0.02146818906094518
AL,2021,0.37978264649601456,0.12071748906616868,0.06448764523427504,11.419400721190588,15,0.5779106332827029,0.7482318646902723,8.668659499240544,11.223477970354084,1.8107623359925304,0.05882877431898047
